date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_hours,wind_speed_10m_max
2026-01-16 00:00:00+00:00,2.05,-7.1,13247.4,8.0,20.78123
2026-01-17 00:00:00+00:00,0.8,-11.4,22306.254,2.0,22.33161
2026-01-18 00:00:00+00:00,-7.5,-13.4,17667.06,6.0,15.94601
2026-01-19 00:00:00+00:00,-7.2,-18.0,29975.682,11.0,24.890165
2026-01-20 00:00:00+00:00,-6.85,-18.25,27562.68,0.0,12.785069
2026-01-21 00:00:00+00:00,-1.05,-8.65,20226.693,8.0,19.759048
2026-01-22 00:00:00+00:00,-1.3,-9.9,28062.408,7.0,26.278767
2026-01-23 00:00:00+00:00,-7.75,-22.85,31234.504,0.0,20.128637
2026-01-24 00:00:00+00:00,-14.8,-25.0,3885.8716,5.0,11.304229
2026-01-25 00:00:00+00:00,-7.5,-15.05,0.0,24.0,17.04021
2026-01-26 00:00:00+00:00,-10.9,-19.05,31753.139,1.0,18.553974
2026-01-27 00:00:00+00:00,-9.85,-16.1,31331.9,0.0,24.458813
2026-01-28 00:00:00+00:00,-9.55,-18.3,32070.014,0.0,14.584443
2026-01-29 00:00:00+00:00,-10.7,-19.2,32197.955,0.0,11.08572
