date,temperature_2m_max,temperature_2m_min,sunshine_duration,precipitation_hours,wind_speed_10m_max
2026-01-09 00:00:00+00:00,16.1,5.1,21600.0,6.0,39.72743
2026-01-10 00:00:00+00:00,6.3,0.6,14448.628,9.0,18.47084
2026-01-11 00:00:00+00:00,1.0,-5.55,16177.6045,3.0,21.738306
2026-01-12 00:00:00+00:00,4.2,-3.85,27417.37,0.0,18.59845
2026-01-13 00:00:00+00:00,9.85,0.6,21916.592,1.0,21.028437
2026-01-14 00:00:00+00:00,6.95,-6.95,889.03265,6.0,24.134098
2026-01-15 00:00:00+00:00,-5.65,-11.0,29574.596,0.0,17.534992
2026-01-16 00:00:00+00:00,2.05,-7.1,13247.4,8.0,20.78123
2026-01-17 00:00:00+00:00,0.8,-11.4,22306.254,2.0,22.33161
2026-01-18 00:00:00+00:00,-7.5,-13.4,17667.06,6.0,15.94601
2026-01-19 00:00:00+00:00,-7.2,-18.0,29975.682,11.0,24.890165
2026-01-20 00:00:00+00:00,-6.85,-18.25,27562.68,0.0,12.785069
2026-01-21 00:00:00+00:00,-1.05,-8.65,20226.693,8.0,19.759048
2026-01-22 00:00:00+00:00,-1.3,-9.9,28062.408,7.0,26.278767
